id,severity,area,title,current_state,gap,recommendation,related_pack_c_id,status
D01,High,StateMachine,Strategy 三軸狀態白名單未交叉定義,v4 收斂三軸 enum 但未列合法組合,缺禁止組合與聯動規則,補 3D truth table 或 2D + constraints,C002,OPEN
D02,High,StateMachine,Persona retired 是否可 reactivate 未定義,有 retired 終態但未說單向,reactivate 路徑與權限未定,標註終態語意並補 audit reason code,C006,OPEN
D03,High,StateMachine,CapitalPool frozen 狀態未列入狀態機,規範文字提及但未列舉,state vs flag 未選定,擇一並補 transition 與 disabledReasonCode,C008,OPEN
D04,High,StateMachine,Incident 與 Deployment rollback 雙寫順序未定義,incident 可觸發 rollback 但順序未列,失敗補償與 idempotency 未明,給 sequence diagram + saga compensation,C014;C019,OPEN
D05,High,StateMachine,10+ 狀態機缺 timeoutMs / failureState,多數 async transition 無 timeout,UI SLA 倒數與失敗態無法實作,每個 async transition 必補 timeoutMs/failureState/failureReasonCode,C001;C010,OPEN
D06,Medium,Evolution,EvolutionRun pause 期間是否消耗 quota 未定義,規範未提及,quota 計算不一致,定義 quota 是否扣除暫停時段,C015,OPEN
D07,Medium,Invariant,Triple-Axis 不變式觸發 transition 未列舉,只說必須維持,違反時 reject vs auto-correct 未定,每條不變式給 validateOn 列表,C002,OPEN
D08,Medium,StateMachine,Job cancel 後 retry 規則未定義,未明確 jobId 是否複用,審計 chain 不一致,給明確 retry 策略,C020,OPEN
D08b,Low,Memory,quarantine 期間是否影響 RAG 檢索未定,未提及,檢索行為不一致,明訂 RAG include 規則,C006,OPEN
D09,High,Permission,Strategy entity 缺核心 action 列,permissionsMatrix 缺 6 個核心 action,UI 無法判 disabled,補完 Strategy 全 action × role,C013,OPEN
D10,High,Permission,Persona entity 缺核心 action 列,同上,同上,補完 Persona 全 action × role,C013,OPEN
D11,High,Permission,Channel/Watchlist/Notebook 未列入 entity,完全缺,3 個 entity 無 RBAC,補三個 entity 全列,C013,OPEN
D12,High,Permission,Role × Capability bundle 對應未明確,有 capability 欄但無 role 對應表,IdP capability 反查 role 失敗,給 RoleCapabilityBundle 與命名規則,C013,OPEN
D13,High,Permission,disabledReasonCode 未列舉 enum,型別為 string,i18n 與一致性失控,定義固定 enum (INSUFFICIENT_ROLE 等),C013,OPEN
D14,Medium,Permission,requiresEnv 不符時的提示文案未定,未列,文案各頁不一,給 i18nKey 與標準文案,C013,OPEN
D15,Medium,Permission,cooldown 倒數 ground truth 未定,client vs server clock 未明,跨頁倒數不一致,以 server time 為準並回 serverNow,C013,OPEN
D16,Low,Permission,capability namespace 大小寫敏感未定,未列,實作差異風險,固定 lowercase dot.case,C013,OPEN
D17,High,API,cursor 失效 fallback 未定,未列 error code,client 卡死,定義 CURSOR_EXPIRED/INVALID 與降級策略,C024,OPEN
D18,High,API,filter operator grammar 未定,只說支援 filter,各端發明語法,定義 eq/in/gt/gte/lt/lte/contains/between,C024,OPEN
D19,High,API,sort 多欄與 null 排序行為未定,未列,排序結果不一致,定義 multi-sort grammar 與 nulls-last,C024,OPEN
D20,High,API,error envelope details schema 未定,details 為自由型,跨 service 不一致,給 details 子 schema (validation 等),C027,OPEN
D21,High,API,平台 error code master list 不存在,散落各模組,i18n 與處理不一,建立 ErrorCode enum 與 i18nKey 表,C027,OPEN
D22,High,API,list 是否回 totalCount 未定,cursor pagination 預設無,UI X of Y 無法顯示,定義 estimatedTotal/totalCountExact,C024,OPEN
D23,Medium,API,部分成功 envelope 未定,bulk 動作無規範,前端結果展示不一,定義 207-style envelope,C025,OPEN
D24,Medium,API,attachment multipart 規格未定,未列大小/類型限制,上傳行為不一,定義 mime/size/scan 規則,C033,OPEN
D25,Medium,API,X-RateLimit-* header 未列入規範,未列,UI 無法提示限流,加入標準 rate limit headers,C027,OPEN
D26,High,SSE,channel 事件 payload schema 未列,只列 channel 名,handler 無法 type-safe,每 channel 給 discriminated union schema,C028,OPEN
D27,Medium,SSE,Last-Event-Id 過期視窗未定,未列秒數,replay 行為不一,給 replayWindowSec 預設值,C029,OPEN
