id,area,severity,spec_ref,gap,impact,suggested_resolution
C001,Spec governance,H,v3 §2,Override priority lacks legacy→v3 mapping table,Type bridges done ad-hoc per entity,Add §2.1 mapping table per entity with deprecation dates
C002,Spec governance,H,v3 §2,Dual-write expectation undefined,Silent breakage when v1 fields removed,Define dual-write window and apiVersion tag per endpoint
C003,Spec governance,M,v3 §13,Removed/merged tabs lack data-destination notes,Migration ambiguity,Annotate every tab change with from/to/dropped/merged-into
C004,Spec governance,L,Disposition.csv,No reverse index v3-section→GID,Audit trace one-way,Add v3-section-to-gap.csv
C005,Spec governance,L,v3 INDEX,No section anchor list,High review cost,Expand INDEX with H2 list
C006,State machines,H,v3 §4,No error/timeout/cancellation transitions,Entities stuck in transient states,Add onFailure/timeoutMs per transition
C007,State machines,H,v3 §4,No admin force-transition path,Incident workaround bypasses spec,Define forceTransition + add to high-risk catalog
C008,State machines,H,v3 §4 Strategy,Lifecycle×review×deployment legal-combo whitelist missing,Impossible triples possible,Add invariants table + JSON schema
C009,State machines,M,v3 §4,Terminal-state retention/SLA undefined,Search/audit visibility unclear,Add retentionDays/searchVisible/auditMutable per terminal
C010,State machines,M,v3 §4,No concurrency conflict rule,Lost-update on real BFF,Require If-Match version + 409 envelope
C011,State machines,M,v3 §4,Branch sub-state next-paths undefined,Implementation guesses,Add branch transition table
C012,State machines,L,v3 §4,No render-hint per machine,Stepper breaks on long machines,Add renderHint per machine
C013,Permissions,H,v3 §5,Truth table covers only 5 entities,11 entities default-deny,Complete matrix for Tool/MCP/Skill/Memory/Insight/Artifact/Job/Incident/Deployment/Runtime/RoutePolicy
C014,ActionDescriptor,H,v3 §8,disabledReasonI18nKey namespace unspecified,Raw/missing keys in tooltip,"Standardize actions.<entity>.<action>.disabled.<reasonCode>"
C015,ActionDescriptor,M,v3 §8,Missing requiresEnv/requiresTwoMan/ttlSec/idempotencyKeyRequired,UI cannot pre-warn,Extend ActionDescriptor schema
C016,Permissions,M,v3 §5,Emergency override governance undefined,Backdoor without audit,Add §5.6 Emergency Override
C017,Permissions,L,v3 §5,Role inheritance undefined,Truth table duplication,Define role lattice
C018,Permissions,L,v3 §5,Multi-tenant scoping not discussed,Future scaling cost,Declare single-tenant; future work
C019,High-risk,H,v3 §6.2,Confirm token revoke/reuse/idempotency rules missing,Replay risk,Add revoke + tokenUsedOnce + bind to Idempotency-Key
C020,High-risk,H,v3 §6.1,Catalog vs §5 requiresApproval not cross-checked,Confirm flow may miss actions,Generate cross-check table
C021,High-risk,M,v3 §6,Memo schema only has max length,Audit memo loses traceability,Add minLen/requireRef/format
C022,High-risk,M,v3 §6,Two-man rule scope incomplete,Single actor on capital actions,Mark twoMan per action
C023,High-risk,L,v3 §6,No cool-down between high-risk clicks,Accidental double-fire,Optional cooldownSec
C024,BFF,H,v3 §8,availableActions ordering/grouping not specified,Inconsistent button order across pages,Add group + order on ActionDescriptor
C025,BFF,H,Cross,List pagination convention missing,Each page reinvents,Standardize cursor-based pageSize≤200
C026,BFF,M,Cross,Filter/sort param convention missing,Cannot share hooks,Standardize sort=field,-field2 + filter[field]
C027,BFF,M,Pack B B1,Error envelope retryable/correlationId undefined,Toast cannot decide retry,"Standard envelope {code,i18nKey,retryable,correlationId,details}"
C028,BFF,M,Cross,Idempotency-Key window undefined,Duplicate mutations,Require key on POST/PATCH 24h window
C029,Realtime,M,Pack B B3,SSE reconnect/replay window undefined,Event loss on reconnect,Define last-event-id + heartbeat + backoff
C030,BFF,L,Cross,X-Request-Id propagation undefined,Trace chain breaks,Frontend ULID + BFF echo + audit
C031,BFF,L,Cross,Bulk endpoint contract undefined,Select-all UI stuck,Declare future work
C032,BFF,L,Cross,Bidirectional stream not discussed,Future feature rewrites,Declare SSE-only; future bidi
C033,Handoff,H,v3 §15,SLA start point ambiguous,Inconsistent overdue judgement,Mark slaStartAt per type
C034,Handoff,H,v3 §15,Escalation chain undefined,Handoffs sink,Define escalation + notification policy
C035,Handoff,M,v3 §15,Reject reply schema missing,Free-text rejections,Define HandoffRejectDTO
C036,Handoff,M,v3 §15,Attachment limits undefined,Inconsistent upload behavior,Standardize ≤25MB + allow-list + scan
C037,Handoff,L,v3 §15,Threading not discussed,Single-shot only,Declare v1 single-shot
C038,Capital,H,v3 §9,Mandate breach detection undefined,Auto-trigger missing,Add mandateMonitor + onBreach
C039,Ranking,M,v3 §10,Metric unit/direction/normalization missing,Sign errors in formulas,Extend metric library schema
