gap,severity,title,patch_target,normative_action
G01,H,Strategy 8 狀態與 Persona/CapitalPool 狀態未在 Part 1 全部展開,§4 Canonical Status / State Machines,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G02,H,Role 清單與 Action 權限矩陣（Permission Truth Table）完全缺漏,§5 Permission Truth Tables,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G03,H,High-Risk Action 未列舉完整集合與 confirm token 規格,§6 High-Risk Actions / Confirmation Token,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G04,H,EnvironmentIndicator 未定義環境枚舉與切換規則,§7 Environment Model / Action Gating,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G05,H,BFF availableActions 計算規則未定義,§8 availableActions Contract,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G06,M,LanguageSwitcher 與 Persona 回應語言耦合規則模糊,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G07,M,Notification Center 訊息分類與來源未列舉,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G08,M,Right Drawer 內容類型只列舉部分,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G09,M,Global Search 範圍與 ranking 規則未列,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G10,M,Locked Decisions 與 Build Assumptions 未版本化,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G11,L,Visual Direction 描述與設計 token 對應缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G12,L,i18n QA Checklist 未列驗收工具,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G13,H,Process inventory 列 16 個 process 但 Part 3 只展開 22 頁，對應關係未明,§3 Process-to-Surface Mapping,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G14,H,Strategy §6.3 列 8 狀態，§6.5 列 actions 但未列 transition 觸發者,§4 Canonical Status / State Machines,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G15,H,Persona §11.3 狀態 active/suspended/archived，但 transition 規則缺,§4 Canonical Status / State Machines,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G16,H,Capital Pool §14.3 狀態 4 個，§14.5 mandate 欄位 6 個但無 schema type,§9 Capital Pool Mandate Schema,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G17,H,Ranking §15 6 個 scope 與 §15.6 metric library 互不對應,§10 Ranking Formula / Metric Matrix,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G18,H,Quarterly Rebalance §16 工作流 6 步但未列 reviewer / approver 角色,§11 Quarterly Rebalance Workflow,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G19,H,Evolution Program §17 Constraints / Alerts / Approvals 三 tab 未列欄位,§12 Evolution Steering Entity Schemas,Patch in normative addendum; update Parts 1-8 and BFF/mock/state machine accordingly.
G20,M,§10.6 Incident States 列 5 狀態，但 mitigation / training feedback 子流程缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G21,M,§13.4 Training Update States 與 Memory 流程連結缺,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
G22,M,§18 Tool / MCP / Skill 三套 lifecycle 共用 §18.3–§18.5，欄位重疊但差異未定義,§19 Medium / Low Gap Resolution Register,Patch in next document revision; keep implementation placeholder until resolved.
