id,severity,part,section,line,title,area,current_workaround,suggested_resolution
G01,H,1,§11,1177-1230,Strategy 8 狀態未含 under_review/paused,Strategy lifecycle,stateMachines/strategy.ts 8 states + mock alias,Spec 補 Status×Role×Action 矩陣，統一 enum
G02,H,1,§1.1 / Part 2 §3,55-76,Role × Action 權限真值表缺漏,Permissions,permissions.ts 自訂 8 role×60 action,Part 1 新增 §11.x 矩陣
G03,H,1,§12,1231-1271,High-Risk action 全集與 confirm token 規格缺,Hi-Risk,mutations.ts HIGH_RISK_ACTIONS 12 項 hardcode,列出全集 + Part 6 加 /commands/confirm-token
G04,H,1,§4.1,320-341,EnvironmentIndicator env enum 與 gating 規則缺,Top Bar,GlobalTopBar 寫死 dev/staging/prod,補 env enum 與 hi-risk gating 表
G05,H,1,§10.3,1143-1176,availableActions 計算規則與結構未定,BFF DTO,queries.ts 回 string[],統一 object[] 並補規則
G06,M,1,§13.8,1485-1506,Persona 回應語言耦合規則模糊,i18n,全域 locale 套用,補 user/session/per-message override
G07,M,1,§4.4,402-424,Notification 種類與 payload 缺,Notifications,NotificationCenter 自定 5 類,補 NotificationType enum
G08,M,1,§4.5,425-463,RightDrawer surface enum 不全,Drawer,RightDrawer 自加 persona quick ask,補 surface enum
G09,M,1,§4.3,357-401,Global Search 範圍與 ranking 缺,Search,useGlobalSearch 全 entity 無 ranking,補 search domain + weight
G10,M,1,"§16,§18",1604-1682,Locked decisions 未版本化,Process,plan.md 對照,加 ADR id
G11,L,1,§15,1561-1603,Visual token mapping 缺,Design,index.css 自定 token,補 token mapping
G12,L,1,§13.9,1507-1529,i18n QA 工具未列,i18n,manual,補工具列表
G13,H,2,§5-§20,-,Process×Page mapping 表缺,Process,plan.md 自對照,補 mapping 矩陣
G14,H,2,§6.3-§6.5,2155-2302,Strategy transition 觸發者缺,Strategy,stateMachines/strategy.ts 推測,補 transition table
G15,H,2,§11.3,2749-2761,Persona suspended/archived transition 缺,Persona,stateMachines/persona.ts 推測,補 reversibility + reviewer
G16,H,2,§14.3-§14.5,2984-3047,Capital Pool mandate schema 缺,Capital,CapitalPoolDetail 6 欄皆 number,補 jsonschema
G17,H,2,§15,3048-3155,Ranking scope×metric matrix 缺,Ranking,RankingDashboard 6 tab 共用 metric,補對應矩陣
G18,H,2,§16.4,3188-3208,Rebalance reviewer/approver 缺,Rebalance,stateMachines/rebalance.ts 推測,補 step×role 表
G19,H,2,§17,3245-3322,Evolution Constraints/Alerts/Approvals schema 缺,Evolution,EvolutionDetail placeholder,補三 entity schema
G20,M,2,§10.6,-,Incident mitigation/training feedback 子流程缺,Incident,placeholder,補欄位
G21,M,2,§13.4,-,Memory states 與 TrainingUpdate 對應缺,Memory,推測,補對應
G22,M,2,§18,-,Tool/MCP/Skill sandbox 規格僅 Skill 段,Capability,ToolDetail/SkillDetail 重複,拆 sandbox 規格
G23,M,2,§19.5,-,Insight lineage 欄位缺,Insight,推測,補 lineage 欄位
G24,M,2,§20.2,-,Job types payload 未列,Jobs,JobDrawer 通用欄位,補各 type payload
G25,M,2,§4.4,-,Long task job 化門檻未定,Jobs,sync,補門檻
G26,M,2,§4.7,-,Handoff SLA / re-route 缺,Handoff,handoff.ts 自定,補 SLA
G27,L,2,§4.5,-,Audit retention 未說,Audit,mock 90d,補保留期
G28,H,3,Strategy Detail,4464-4644,Strategy 11 vs 13 tabs 不一致,Strategy,StrategyDetail 11 tabs,補 Costs/Calendar 或修 spec
G29,H,3,Persona Detail,4803-4918,Persona Lab/Memory tab 規格缺,Persona,PersonaDetail 自加 6 tabs,補 spec
G30,H,3,Capital Pool Detail,-,Performance/Ranking Inputs tab 缺,Capital,placeholder cards,補 schema
G31,H,3,§5.143,-,Formula weights schema 缺,Ranking,FormulaBuilder JSON 自由,補 weight tree schema
G32,H,3,§5.213,-,Rebalance step UI 元件未指定,Rebalance,6 step stepper 自選,補 UI map
G33,H,3,Risk Center,-,route /risk vs /risk-center 衝突,Risk,alias 兩 route,擇一
G34,M,3,Command Center,4121-,KPI list 缺,Command,CommandCenter 自定 KPI,補 KPI 列表
G35,M,3,Strategies List,-,sort/filter 規格缺,Strategy,全欄 sort,補規格
G36,M,3,Strategy Tab Experiments,-,Run experiment input schema 缺,Strategy,ExperimentForm 自定,補 schema
G37,M,3,Strategy Tab Risk,-,與 Risk Center 同步來源未定,Strategy,共用 list,明確化
G38,M,3,Strategy Tab Governance,-,與 Governance Review 物件關係未定,Strategy,兩處 list,明確化
G39,M,3,Capabilities List,4943-4982,Tools/MCP/Skills 共用 list 欄位 N/A,Capability,共用 list,補各類欄位
G40,M,3,Tool Detail,5690-,Tool 與 MCP server 混寫,Capability,ToolDetail,拆兩類
G41,M,3,Skill Detail,5785-,sandbox tab 規格僅一行,Capability,SkillDetail placeholder,補 sandbox schema
G42,M,3,Lineage,5865-,graph 規模上限未定,Lineage,限 200 node,補 graph 限制
