cid,severity,category,title,status,section,implementation_directive
C001,H,Spec governance,Legacy → v3 mapping table,RESOLVED_BY_PACK_C,§C001,Implement according to Pack C section §C001
C002,H,Spec governance,Dual-write and apiVersion policy,RESOLVED_BY_PACK_C,§C002,Implement according to Pack C section §C002
C003,M,Spec governance,Tab migration table,RESOLVED_BY_PACK_C,§C003,Implement according to Pack C section §C003
C004,L,Spec governance,Reverse gap index,RESOLVED_BY_PACK_C,§C004,Implement according to Pack C section §C004
C005,L,Spec governance,INDEX section anchors,RESOLVED_BY_PACK_C,§C005,Implement according to Pack C section §C005
C006,H,State machines,Failure / timeout / cancellation transitions,RESOLVED_BY_PACK_C,§C006,Implement according to Pack C section §C006
C007,H,State machines,Admin force-transition,RESOLVED_BY_PACK_C,§C007,Implement according to Pack C section §C007
C008,H,State machines,Strategy three-axis invariants,RESOLVED_BY_PACK_C,§C008,Implement according to Pack C section §C008
C009,M,State machines,Terminal retention and purge SLA,RESOLVED_BY_PACK_C,§C009,Implement according to Pack C section §C009
C010,M,State machines,Concurrency and optimistic locking,RESOLVED_BY_PACK_C,§C010,Implement according to Pack C section §C010
C011,M,State machines,Branching return paths,RESOLVED_BY_PACK_C,§C011,Implement according to Pack C section §C011
C012,L,State machines,LifecycleStepper render hints,RESOLVED_BY_PACK_C,§C012,Implement according to Pack C section §C012
C013,H,Permissions,Complete role-action matrices,RESOLVED_BY_PACK_C,§C013,Implement according to Pack C section §C013
C014,H,ActionDescriptor,disabledReasonI18nKey convention,RESOLVED_BY_PACK_C,§C014,Implement according to Pack C section §C014
C015,M,ActionDescriptor,requiresEnv / two-man / ttl / idempotency fields,RESOLVED_BY_PACK_C,§C015,Implement according to Pack C section §C015
C016,M,Permissions,Emergency override,RESOLVED_BY_PACK_C,§C016,Implement according to Pack C section §C016
C017,L,Permissions,Role lattice,RESOLVED_BY_PACK_C,§C017,Implement according to Pack C section §C017
C018,L,Permissions,Single-tenant scope declaration,RESOLVED_BY_PACK_C,§C018,Implement according to Pack C section §C018
C019,H,High-risk,Confirm token revoke / reuse / idempotency,RESOLVED_BY_PACK_C,§C019,Implement according to Pack C section §C019
C020,H,High-risk,Catalog × approval cross-check,RESOLVED_BY_PACK_C,§C020,Implement according to Pack C section §C020
C021,M,High-risk,Memo schema,RESOLVED_BY_PACK_C,§C021,Implement according to Pack C section §C021
C022,M,High-risk,Two-man rule on each action,RESOLVED_BY_PACK_C,§C022,Implement according to Pack C section §C022
C023,L,High-risk,Cooldown per action,RESOLVED_BY_PACK_C,§C023,Implement according to Pack C section §C023
C024,H,BFF,availableActions ordering and grouping,RESOLVED_BY_PACK_C,§C024,Implement according to Pack C section §C024
C025,H,BFF,Cursor pagination,RESOLVED_BY_PACK_C,§C025,Implement according to Pack C section §C025
C026,M,BFF,Filter and sort query style,RESOLVED_BY_PACK_C,§C026,Implement according to Pack C section §C026
C027,M,BFF,Error envelope semantics,RESOLVED_BY_PACK_C,§C027,Implement according to Pack C section §C027
C028,M,BFF,Idempotency header,RESOLVED_BY_PACK_C,§C028,Implement according to Pack C section §C028
C029,M,Realtime,SSE reconnect protocol,RESOLVED_BY_PACK_C,§C029,Implement according to Pack C section §C029
C030,L,BFF,X-Request-Id propagation,RESOLVED_BY_PACK_C,§C030,Implement according to Pack C section §C030
C031,L,BFF,Bulk operation policy,RESOLVED_BY_PACK_C,§C031,Implement according to Pack C section §C031
C032,L,Realtime,"SSE now, WebSocket future",RESOLVED_BY_PACK_C,§C032,Implement according to Pack C section §C032
C033,H,Handoff,SLA start point,RESOLVED_BY_PACK_C,§C033,Implement according to Pack C section §C033
C034,H,Handoff,Escalation chain,RESOLVED_BY_PACK_C,§C034,Implement according to Pack C section §C034
C035,M,Handoff,Reject reply schema,RESOLVED_BY_PACK_C,§C035,Implement according to Pack C section §C035
C036,M,Handoff,Attachment constraints,RESOLVED_BY_PACK_C,§C036,Implement according to Pack C section §C036
C037,L,Handoff,Threading policy,RESOLVED_BY_PACK_C,§C037,Implement according to Pack C section §C037
C038,H,Capital,Mandate breach monitor,RESOLVED_BY_PACK_C,§C038,Implement according to Pack C section §C038
C039,M,Ranking,Metric metadata,RESOLVED_BY_PACK_C,§C039,Implement according to Pack C section §C039
C040,M,Rebalance,Backward transitions,RESOLVED_BY_PACK_C,§C040,Implement according to Pack C section §C040
C041,M,Rebalance,Approval quorum,RESOLVED_BY_PACK_C,§C041,Implement according to Pack C section §C041
C042,L,Capital,Currency / FX,RESOLVED_BY_PACK_C,§C042,Implement according to Pack C section §C042
