id,severity,sub_pack,blocker,disposition_summary,status
D01,High,D-A,No,Strategy 三軸 (lifecycle×review×deployment) canonical whitelist; live/paper/degraded 必須 reviewStatus=approved; legacy state 僅 adapter,RESOLVED
D02,High,D-A,No,Persona retired 為終態; 不允許 reactivate; 用 fork_persona_from_retired 帶 lineage,RESOLVED
D03,High,D-A,No,CapitalPool frozen 為 state (draft/active/frozen/rebalancing/restricted/retired); 另存 FreezeRecord,RESOLVED
D04,High,D-A,No,Incident↔Deployment rollback 採 Saga + idempotencyKey=rollback:{incidentId}:{deploymentId}:{targetVersion},RESOLVED
D05,High,D-A,Yes,所有 async transition 必須使用 AsyncTransitionDescriptor (timeoutMs/failureState/failureReasonCode); 12 條 v0 default,RESOLVED
D06,Medium,D-A,No,EvolutionRun pause: pauseConsumesComputeQuota=false / pauseConsumesSla=true,RESOLVED
D07,Medium,D-A,No,Triple-Axis invariant validateOn 9 trigger; 違反 reject 不 auto-correct; legacy adapter 加 migrationWarning,RESOLVED
D08,Medium,D-A,No,Job cancelled 終態; retry 建立新 jobId 帶 retryOf/parentJobId; maxAttempts=3,RESOLVED
D08b,Low,D-A,No,quarantined memory 預設排除於 RAG; admin/risk_officer/research_lead 可 override 並 audit,RESOLVED
D09,High,D-B,No,Strategy 17 個 canonical action catalog; 每個帶 capability/allowedRoles/requiresApproval/riskLevel,RESOLVED
D10,High,D-B,No,Persona 17 個 canonical action catalog,RESOLVED
D11,High,D-B,No,Channel/Watchlist/Notebook 三 entity 加入 RBAC action catalog,RESOLVED
D12,High,D-B,Yes,capabilities 為 source of truth; roles 僅 default bundle hint; ROLE_CAPABILITIES 8 role bundle,RESOLVED
D13,High,D-B,No,DisabledReasonCode 15-enum (INSUFFICIENT_CAPABILITY/INVALID_STATE/...); i18n key actions.disabled.<code>,RESOLVED
D14,Medium,D-B,No,requiresEnv 不符提示文案 + i18n key actions.disabled.WRONG_ENVIRONMENT,RESOLVED
D15,Medium,D-B,No,cooldown 倒數 ground truth = serverTime; client local clock 不得作判定依據,RESOLVED
